run_id,method,ablation,scenario,disturbance,init_variant,outcome,success,task_phase,failure_type,merge_start_time_s,completion_time_s,physical_target_gap_m,physical_gap_floor_m,min_net_gap_m,hard_violation_count,road_violation_count,safety_recheck_violation_count,safety_correction_count,action_saturation_count,safety_correction_abs_mean_mps2,max_abs_jerk_mps3,mean_abs_jerk_mps3,compute_time_s,pair_gain_total_error_max_s-1,space_feedback_abs_mean_s-1,partner_feedback_abs_mean_s-1,effective_q_delta_abs_mean_s-1,q_saturation_fraction,space_feedback_prepare_mean_s-1,space_feedback_execute_mean_s-1,space_feedback_failure_handling_mean_s-1,mean_spatial_reference_offset_m,K_MR_mean_s-1,K_RM_mean_s-1,total_speed_deficit_distance_m,total_speed_deficit_integral_m_s,total_effort_integral_m2_s3,intervention_method,intervention_ablation
D_ample_prepare_i2,D,,ample,prepare,2,completed,1,SUCCESS_RELEASE,,1.7000000000000002,4.7,27.2,21.400000000000002,7.226570513637978,0,0,29,189,188,1.7131576114826166,2.500000000000002,0.5240673850455109,0.34973830002127215,0.0,0.015290381701746403,0.0005787736883218825,0.0631630638107605,0.14375,0.0030107809552162522,0.01157327952017756,0.0,0.3313053540479094,0.042181256571947705,0.05738260635640122,67.31962123225728,67.31962123225728,55.89054909736301,D,full
D_ample_prepare_i2_symmetric_k,D,symmetric_k,ample,prepare,2,completed,1,SUCCESS_RELEASE,,1.7000000000000002,4.7,27.2,21.400000000000002,7.232102687836556,0,0,29,189,188,1.7130025474808577,2.500000000000002,0.5240476803162839,0.34835310000926256,0.0,0.015356778818882283,0.0005792897648075646,0.06313401397723972,0.14375,0.003011761852074055,0.011562316408911321,0.0,0.3313745825854498,0.04978193146417444,0.04978193146417444,67.34762505270567,67.34762505270567,55.90324645266451,D,symmetric_k
C_collaborative_none_i0,C,,collaborative,none,0,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,17.6716912274136,0,0,0,34,34,0.7864892085898668,2.5,0.14895408013551334,0.7109211999922991,0.0,0.00330088224317046,0.0005858864687240857,0.0628464591931893,0.153125,0.005582628895636547,0.0,0.0031491075557377114,0.166052685732337,0.05137071651090342,0.05137071651090342,1.0455959576598808,1.0455959576598808,4.048472726969841,C,full
C_collaborative_none_i0_no_space,C,no_space,collaborative,none,0,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,17.67157293940762,0,0,0,34,34,0.7827698413246773,2.5,0.14814361225830938,0.733325999986846,0.0,0.0,0.0005584611822057872,0.06304162807318892,0.153125,0.0018423461681015662,0.0,0.0,0.16744396097636027,0.05137071651090342,0.05137071651090342,1.0360055870920393,1.0360055870920393,4.042335776532904,C,no_space
C_collaborative_none_i0_fixed_W,C,fixed_W,collaborative,none,0,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,17.67168379610872,0,0,0,34,34,0.7864827893670079,2.500000000000001,0.14891687943445872,0.6820311999763362,0.0,0.0032982058497555053,0.0006340029458830252,0.06284764951438697,0.153125,0.005740367407040716,0.0,0.003145700341351481,0.16617618031420328,0.05137071651090342,0.05137071651090342,1.0448937742132498,1.0448937742132498,4.0484869599596385,C,fixed_W
C_collaborative_none_i0_no_partner,C,no_partner,collaborative,none,0,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,17.671754238400364,0,0,0,34,34,0.792239202152831,2.500000000000001,0.1498482004425305,0.683260399964638,0.0,0.003342388860274388,0.0,0.06336645498917703,0.153125,0.003669427131064426,0.0,0.003200134545177376,0.165245990913475,0.05137071651090342,0.05137071651090342,1.0517654923680975,1.0517654923680975,4.058232271418317,C,no_partner
D_collaborative_none_i0,D,,collaborative,none,0,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,17.67169995838999,0,0,0,34,34,0.7871436573398164,2.500000000000001,0.1490457231083569,0.7151805000030436,0.0,0.0033051563779788406,0.0005848844562613664,0.06290022883397724,0.153125,0.0055814516425406625,0.0,0.003154315056638664,0.16597988603941885,0.04475201843543326,0.0579894145863736,1.046266776363286,1.046266776363286,4.0494714458912435,D,full
D_collaborative_none_i0_symmetric_k,D,symmetric_k,collaborative,none,0,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,17.6716912274136,0,0,0,34,34,0.7864892085898668,2.5,0.14895408013551334,0.6995976999751292,0.0,0.00330088224317046,0.0005858864687240857,0.0628464591931893,0.153125,0.005582628895636547,0.0,0.0031491075557377114,0.166052685732337,0.05137071651090342,0.05137071651090342,1.0455959576598808,1.0455959576598808,4.048472726969841,D,symmetric_k
C_collaborative_prepare_i1,C,,collaborative,prepare,1,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,17.489274320590834,0,0,0,53,53,0.7400876899562722,2.5,0.2109050640514102,0.6887754999916069,0.0,0.0039904070261272285,0.0004444723473438412,0.0629906015597598,0.15625,0.005712514793964808,0.0,0.003862544954335865,0.2990863466665467,0.05242990654205607,0.05242990654205607,3.4076501984679464,3.4076501984679464,4.494097664691927,C,full
C_collaborative_prepare_i1_no_space,C,no_space,collaborative,prepare,1,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,17.49007030313363,0,0,0,54,54,0.7506836575328025,2.500000000000001,0.21295378437041568,0.7215651000151411,0.0,0.0,0.0004938356609063015,0.06303456495137395,0.159375,0.0015962364796971364,0.0,0.0,0.29452280980583484,0.05242990654205607,0.05242990654205607,3.4141745649955646,3.4141745649955646,4.6554315393474,C,no_space
C_collaborative_prepare_i1_fixed_W,C,fixed_W,collaborative,prepare,1,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,17.48980719903228,0,0,0,53,53,0.7411436557307772,2.500000000000002,0.21047393311487875,0.7486669000354595,0.0,0.0041753646276505045,0.0005448633068347566,0.06362351636801959,0.153125,0.006109206918749434,0.0,0.004098015629317147,0.2993951599446059,0.05242990654205607,0.05242990654205607,3.4144858472441424,3.4144858472441424,4.511831840734141,C,fixed_W
C_collaborative_prepare_i1_no_partner,C,no_partner,collaborative,prepare,1,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,17.48968969175412,0,0,0,53,53,0.7488347188044712,2.500000000000001,0.212149194387902,0.9186031999997795,0.0,0.004095500440135185,0.0,0.06295888788490682,0.15625,0.00434055865457235,0.0,0.003985723230952927,0.29788912286599967,0.05242990654205607,0.05242990654205607,3.411914230600517,3.411914230600517,4.550724987718513,C,no_partner
D_collaborative_prepare_i1,D,,collaborative,prepare,1,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,17.48930148136726,0,0,0,53,53,0.7405784478176146,2.5,0.2109869806824353,0.719957199995406,0.0,0.003996034027304087,0.00044412789569692207,0.06301285254318804,0.15625,0.005714776047619465,0.0,0.0038691809350497545,0.2990363330548109,0.04729115350879395,0.05756865957531821,3.4079188458826426,3.4079188458826426,4.497351344338663,D,full
D_collaborative_prepare_i1_symmetric_k,D,symmetric_k,collaborative,prepare,1,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,17.489274320590834,0,0,0,53,53,0.7400876899562722,2.5,0.2109050640514102,0.7365283999824896,0.0,0.0039904070261272285,0.0004444723473438412,0.0629906015597598,0.15625,0.005712514793964808,0.0,0.003862544954335865,0.2990863466665467,0.05242990654205607,0.05242990654205607,3.4076501984679464,3.4076501984679464,4.494097664691927,D,symmetric_k
C_short_window_none_i0,C,,short_window,none,0,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,13.001562500000073,0,0,0,116,116,1.3027473276754,2.5,0.383953570999611,0.7673011999577284,0.0,0.030507528998101007,0.002962374903826882,0.06288162348619879,0.184375,0.04221261032982467,0.0,0.02901607232545217,0.09870585162109846,0.05719626168224299,0.05719626168224299,24.275032014751968,24.275032014751968,34.25209755478282,C,full
C_short_window_none_i0_no_space,C,no_space,short_window,none,0,started_but_failed,0,FAILURE_HANDLING,started_but_failed,3.1,,21.400000000000002,21.400000000000002,7.1596632601006265,0,0,17,150,150,1.9049465809329584,2.5,0.45530482733938094,0.5101513999979943,0.0,0.0,0.0012265302402601436,0.06315607056401884,0.1875,0.0063304786594071925,0.0,0.0,0.09837915181299026,0.05772585669781931,0.05772585669781931,45.70944123574999,45.70944123574999,33.65043088201013,C,no_space
C_short_window_none_i0_fixed_W,C,fixed_W,short_window,none,0,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,13.001562500000073,0,0,0,118,118,1.284432335034768,2.5,0.38382558233870595,0.765790699981153,0.0,0.030273160180710725,0.0017808437534626727,0.06342223069461642,0.184375,0.03806324557347335,0.0,0.028992692155662098,0.09786754875687434,0.05719626168224299,0.05719626168224299,24.232541466103783,24.232541466103783,34.05506453548878,C,fixed_W
C_short_window_none_i0_no_partner,C,no_partner,short_window,none,0,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,13.001562500000073,0,0,0,119,119,1.260748236129164,2.5,0.3839183492299355,0.7834221000084653,0.0,0.02988487466859191,0.0,0.06324241621616056,0.1875,0.031834663095685535,0.0,0.02889158622460082,0.09680295246452497,0.05719626168224299,0.05719626168224299,24.078189343150747,24.078189343150747,33.68349412207079,C,no_partner
D_short_window_none_i0,D,,short_window,none,0,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,13.001562500000073,0,0,0,117,117,1.292844917700165,2.5,0.38404352340053144,0.7737319000298157,0.0,0.030589656205251874,0.002952976919383646,0.0631541113366387,0.184375,0.0423929291297546,0.0,0.029033991763537124,0.09851843347566573,0.05085143764535199,0.06354108571913399,24.30402892164403,24.30402892164403,34.28899035100949,D,full
D_short_window_none_i0_symmetric_k,D,symmetric_k,short_window,none,0,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,13.001562500000073,0,0,0,116,116,1.3027473276754,2.5,0.383953570999611,0.7503442000015639,0.0,0.030507528998101007,0.002962374903826882,0.06288162348619879,0.184375,0.04221261032982467,0.0,0.02901607232545217,0.09870585162109846,0.05719626168224299,0.05719626168224299,24.275032014751968,24.275032014751968,34.25209755478282,D,symmetric_k
C_short_window_prepare_i2,C,,short_window,prepare,2,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,10.205156250000012,0,0,0,166,163,1.2586177506912795,2.5,0.5041714704065434,0.8064780000131577,0.0,0.04534484623059371,0.004361470766513549,0.06300578578363045,0.2,0.06496384086306124,0.0,0.04126283291594825,0.13359700711354522,0.06037383177570093,0.06037383177570093,39.376471052263746,39.376471052263746,46.32092048304941,C,full
C_short_window_prepare_i2_no_space,C,no_space,short_window,prepare,2,started_but_failed,0,FAILURE_HANDLING,started_but_failed,3.25,,21.400000000000002,21.400000000000002,6.506537063012542,0,0,30,212,209,1.9483475888407236,2.5,0.6188260952424094,0.5338808000087738,0.0,0.0,0.0014249908822409562,0.06317224761289446,0.20625,0.007015339727955477,0.0,0.0,0.13290554338803376,0.06090342679127725,0.06090342679127725,75.84656632098928,75.84656632098928,51.29946501434058,C,no_space
C_short_window_prepare_i2_fixed_W,C,fixed_W,short_window,prepare,2,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,10.205156250000012,0,0,0,165,162,1.2464761558885242,2.5,0.5005889357310654,0.7948156999773346,0.0,0.044362349584777874,0.00251684087587718,0.06300013901371106,0.203125,0.05805860975356113,0.0,0.0406925215315711,0.1321619719792505,0.06037383177570093,0.06037383177570093,39.08903283542384,39.08903283542384,45.64936092839577,C,fixed_W
C_short_window_prepare_i2_no_partner,C,no_partner,short_window,prepare,2,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,10.205156250000012,0,0,0,163,161,1.2385638259961613,2.5,0.49712345705672345,0.7779681999818422,0.0,0.04314350526601309,0.0,0.06334989818798857,0.20625,0.04880001717931584,0.0,0.04001320255670963,0.13042760596214298,0.06037383177570093,0.06037383177570093,38.74373963297964,38.74373963297964,44.83374814896685,C,no_partner
D_short_window_prepare_i2,D,,short_window,prepare,2,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,10.205156250000012,0,0,0,167,165,1.256295661121489,2.5,0.5055257465661901,0.8038671999820508,0.0,0.045607561199301594,0.004354051922427863,0.06325509279931094,0.2,0.0653966834012694,0.0,0.0414198752000423,0.13339473246493477,0.05418236889092199,0.06656529466047989,39.45859890865949,39.45859890865949,46.45770746864442,D,full
D_short_window_prepare_i2_symmetric_k,D,symmetric_k,short_window,prepare,2,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,10.205156250000012,0,0,0,166,163,1.2586177506912795,2.5,0.5041714704065434,1.0258457000018097,0.0,0.04534484623059371,0.004361470766513549,0.06300578578363045,0.2,0.06496384086306124,0.0,0.04126283291594825,0.13359700711354522,0.06037383177570093,0.06037383177570093,39.376471052263746,39.376471052263746,46.32092048304941,D,symmetric_k
