source_run_id,method,scenario,disturbance,init_variant,snapshot_t_s,vehicle,ablation,q_M,q_R,qdot_space_s-1,qdot_partner_s-1,qdot_clipped_s-1,K_to_partner_s-1,W_to_partner,a_nom_mps2,a_actual_reference_mps2,full_reproduction_error,target_gap_physical_m,target_gap_process_m,window_opening_accel_mps2,post_front_id
C_ample_none_i2,C,ample,none,2,1.7,R,no_partner,0.7112199642116992,0.6163382303822396,0.0,0.0,0.36,0.17,0.2049985572562275,0.15217784055276468,0.15217784055276468,,27.2,27.2,0.0,F
C_ample_prepare_i0,C,ample,prepare,0,1.25,M,full,0.5247591443957789,0.45195658967457064,0.002597340007570254,-0.0032261021853846957,0.41937123782218555,0.17,0.1663066875624304,-0.2126134080379117,-0.2126134080379117,0.0,30.2,30.2,0.0,F
C_ample_prepare_i0,C,ample,prepare,0,1.25,R,full,0.5247591443957789,0.45195658967457064,0.0,0.0032261021853846957,0.3632261021853847,0.17,0.1663066875624304,0.007235322945177529,0.007235322945177529,0.0,30.2,30.2,0.0,F
C_ample_prepare_i0,C,ample,prepare,0,1.25,M,no_space,0.5247591443957789,0.45195658967457064,0.0,-0.0032261021853846957,0.41677389781461527,0.17,0.1663066875624304,-0.22476895927334084,-0.2126134080379117,,30.2,30.2,0.0,F
C_ample_prepare_i0,C,ample,prepare,0,1.25,R,no_space,0.5247591443957789,0.45195658967457064,0.0,0.0032261021853846957,0.3632261021853847,0.17,0.1663066875624304,0.007235322945177529,0.007235322945177529,,30.2,30.2,0.0,F
C_ample_prepare_i0,C,ample,prepare,0,1.25,M,fixed_W,0.5247591443957789,0.45195658967457064,0.002597340007570254,-0.0038797022929984567,0.4187176377145718,0.17,0.2,-0.21567225654154284,-0.2126134080379117,,30.2,30.2,0.0,F
C_ample_prepare_i0,C,ample,prepare,0,1.25,R,fixed_W,0.5247591443957789,0.45195658967457064,0.0,0.0038797022929984567,0.36387970229299843,0.17,0.2,0.007235322945177529,0.007235322945177529,,30.2,30.2,0.0,F
C_ample_prepare_i0,C,ample,prepare,0,1.25,M,no_partner,0.5247591443957789,0.45195658967457064,0.002597340007570254,0.0,0.42259734000757027,0.17,0.1663066875624304,-0.19751524981030996,-0.2126134080379117,,30.2,30.2,0.0,F
C_ample_prepare_i0,C,ample,prepare,0,1.25,R,no_partner,0.5247591443957789,0.45195658967457064,0.0,0.0,0.36,0.17,0.1663066875624304,0.007235322945177529,0.007235322945177529,,30.2,30.2,0.0,F
C_ample_prepare_i2,C,ample,prepare,2,1.7,M,full,0.7112498880280296,0.616330034089674,0.001480912765913264,-0.005086128628820755,0.4163947841370925,0.17,0.2014057142906158,-0.157858425505227,-0.157858425505227,0.0,27.2,27.2,0.0,F
