run_id,method,ablation,scenario,disturbance,init_variant,vehicle,speed_deficit_distance_m,speed_deficit_integral_m_s,accel_squared_integral,abs_jerk_integral,abs_nominal_actual_difference_integral,safety_correction_count,safety_correction_abs_integral,action_saturation_count,safety_recheck_violation_count,distance_m,min_net_gap_m,min_FR_gap_m,min_RB_gap_m,min_MF_gap_m,min_MR_gap_m,prepare_speed_deficit_distance_m,execute_speed_deficit_distance_m,success_release_speed_deficit_distance_m,failure_handling_speed_deficit_distance_m,prepare_distance_m,execute_distance_m,success_release_distance_m,failure_handling_distance_m
A_ample_prepare_i0,A,,ample,prepare,0,F,1.1544896481720748,1.1544896481720748,1.4874506612792644,5.193971383454953,1.1736736003854564,0.0,0.0,32.0,0.0,287.2780981441186,10.667610109458177,29.703391392859654,nan,10.667610109458177,nan,0.0,1.054390748590451,0.10009889958162431,0.0,21.991434035977505,52.98463590610646,212.30202820203462,0.0
A_ample_prepare_i0,A,,ample,prepare,0,B,0.0,0.0,0.11150487228112069,0.9008241894551999,0.007721330492195478,0.0,0.0,2.0,0.0,292.9045069479504,16.84968634664865,nan,16.84968634664865,nan,nan,0.0,0.0,0.0,0.0,21.772468930659564,55.070028226560886,216.06200979072992,0.0
A_ample_prepare_i1,A,,ample,prepare,1,M,0.0,0.0,2.71524097946,4.3331450667288465,0.3590264119960727,0.0,0.0,9.0,0.0,299.95935871734827,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,99.27833060744484,0.0,0.0,200.68102810990342
A_ample_prepare_i1,A,,ample,prepare,1,R,1.2397779084113858,1.2397779084113858,0.8482766668252423,2.9229104909292443,0.015598878504555668,0.0,0.0,3.0,0.0,293.7595568242112,19.348803602559666,23.7185413199074,19.348803602559666,nan,nan,1.1474390690926295,0.0,0.0,0.09233883931875618,87.55411529162487,0.0,0.0,206.20544153258632
A_ample_prepare_i1,A,,ample,prepare,1,F,1.1544896481720748,1.1544896481720748,1.4874506612792644,5.193971383454953,1.1736736003854564,0.0,0.0,32.0,0.0,287.2780981441186,23.7185413199074,23.7185413199074,nan,nan,nan,1.0999943036891098,0.0,0.0,0.05449534448296536,87.53143546253116,0.0,0.0,199.74666268158742
A_ample_prepare_i1,A,,ample,prepare,1,B,0.0,0.0,0.17307482660298526,1.1699294834158496,0.012090571663026777,0.0,0.0,2.0,0.0,296.6107532216515,19.348803602559666,nan,19.348803602559666,nan,nan,0.0,0.0,0.0,0.0,89.64748417803428,0.0,0.0,206.96326904361723
A_ample_prepare_i2,A,,ample,prepare,2,M,0.0,0.0,3.5880736563867845,2.534170194990211,0.03130636625339914,0.0,0.0,5.0,0.0,298.43556096769186,8.559753778127142,nan,nan,9.542537176426844,8.559753778127142,0.0,0.0,0.0,0.0,39.872792680150496,57.79321019089414,0.0,200.76955809664722
A_ample_prepare_i2,A,,ample,prepare,2,R,1.767024869861601,1.767024869861601,0.8701432270608528,3.5490655016420907,0.20214543705672613,0.0,0.0,7.0,0.0,286.4367662603454,8.559753778127142,27.06300154552134,16.956907511142912,nan,8.559753778127142,0.312316708749284,0.6883632518983533,0.0,0.7663449092139641,33.146021940569426,53.354652942638154,0.0,199.9360913771378
A_ample_prepare_i2,A,,ample,prepare,2,F,1.1544896481720748,1.1544896481720748,1.4874506612792644,5.193971383454953,1.1736736003854564,0.0,0.0,32.0,0.0,287.2780981441187,9.542537176426844,27.06300154552134,nan,9.542537176426844,nan,0.04156799508856324,1.0560072979918937,0.0,0.05691435509161825,33.68283992263321,52.95096314653122,0.0,200.64429507495427
A_ample_prepare_i2,A,,ample,prepare,2,B,0.1820618899573571,0.1820618899573571,0.162288804538224,0.7360493521258242,0.0073672113606861635,0.0,0.0,2.0,0.0,292.1798587492025,16.956907511142912,nan,16.956907511142912,nan,nan,0.1820618899573571,0.0,0.0,0.0,33.2029288948862,54.92405420906809,0.0,204.0528756452482
A_collaborative_none_i0,A,,collaborative,none,0,M,0.126977512415196,0.126977512415196,3.635860544093308,3.9498115112593153,0.974348160691758,0.0,0.0,17.0,0.0,293.93020976240985,nan,nan,nan,nan,nan,0.015083559075280917,0.0,0.0,0.11189395333991509,94.23994797981163,0.0,0.0,199.6902617825982
A_collaborative_none_i0,A,,collaborative,none,0,R,0.6941281667717445,0.6941281667717445,0.5628275530397515,3.3424139827294526,0.2757437689031332,0.0,0.0,9.0,0.0,291.50048007089606,17.670310920674705,17.69951992910178,17.670310920674705,nan,nan,0.6941281667717445,0.0,0.0,0.0,87.76960486909059,0.0,0.0,203.73087520180547
A_collaborative_none_i0,A,,collaborative,none,0,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.99999999999784,17.69951992910178,17.69951992910178,nan,nan,nan,0.0,0.0,0.0,0.0,88.20000000000056,0.0,0.0,199.79999999999728
A_collaborative_none_i0,A,,collaborative,none,0,B,0.0,0.0,0.054548940109139854,0.7394423440387048,0.006140323602705587,0.0,0.0,1.0,0.0,295.03016915022135,17.670310920674705,nan,17.670310920674705,nan,nan,0.0,0.0,0.0,0.0,89.29889611274749,0.0,0.0,205.73127303747387
A_collaborative_none_i1,A,,collaborative,none,1,M,0.0,0.0,0.5137080032452026,1.688941047146511,0.01849807687034705,0.0,0.0,2.0,0.0,296.05487008899655,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,97.08119124553883,0.0,0.0,198.97367884345772
A_collaborative_none_i1,A,,collaborative,none,1,R,0.6741192594841452,0.6741192594841452,0.4899642570106741,2.7742630708591545,0.19939789117011525,0.0,0.0,8.0,0.0,291.40579761642863,17.667416323333622,17.79420238356921,17.667416323333622,nan,nan,0.6741192594841452,0.0,0.0,0.0,89.50242999679963,0.0,0.0,201.903367619629
A_collaborative_none_i1,A,,collaborative,none,1,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.99999999999784,17.79420238356921,17.79420238356921,nan,nan,nan,0.0,0.0,0.0,0.0,90.00000000000057,0.0,0.0,197.99999999999727
A_collaborative_none_i1,A,,collaborative,none,1,B,0.0,0.0,0.057163634174249474,0.7470470683390387,0.010617565247425402,0.0,0.0,2.0,0.0,294.938381293095,17.667416323333622,nan,17.667416323333622,nan,nan,0.0,0.0,0.0,0.0,91.14366992729413,0.0,0.0,203.79471136580088
A_collaborative_none_i2,A,,collaborative,none,2,M,0.2683144230652241,0.2683144230652241,6.562574217123075,6.017833532405832,3.1050102219568387,0.0,0.0,39.0,0.0,291.8826493075312,7.701632183159728,nan,nan,8.549208156938999,7.701632183159728,0.0,0.2427101561479951,0.025604266917229165,0.0,36.42057666558158,53.88713281819484,201.5749398237548,0.0
A_collaborative_none_i2,A,,collaborative,none,2,R,8.128563905970392,8.128563905970392,6.905651329833311,10.598499921179283,4.25527457640897,0.0,0.0,60.0,0.0,280.50930154643794,7.701632183159728,18.230156250000004,15.695429035896336,nan,7.701632183159728,2.7956250000000047,2.2499945227985902,3.082944383171791,0.0,29.55968749999998,52.19441305338047,198.75520099305749,0.0
A_collaborative_none_i2,A,,collaborative,none,2,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.9999999999979,8.549208156938999,18.230156250000004,nan,8.549208156938999,nan,0.0,0.0,0.0,0.0,32.400000000000205,54.00000000000034,201.59999999999735,0.0
