run_id,method,scenario,disturbance,init_variant,vehicle,speed_deficit_integral_m_s,accel_squared_integral,abs_jerk_integral,abs_nominal_actual_difference_integral,safety_correction_count,safety_correction_abs_integral,distance_m,min_net_gap_m
A_ample_prepare_i2,A,ample,prepare,2,F,1.1544896481720748,1.4874506612792644,5.193971383454953,1.1736736003854564,0.0,0.0,287.29059821937733,9.660435799189951
A_ample_prepare_i2,A,ample,prepare,2,B,0.23815074126439856,0.10540347501913294,0.919612106445831,0.0073672113606861635,0.0,0.0,290.9358086776306,9.660435799189951
A_collaborative_none_i0,A,collaborative,none,0,M,5.020305309934502,6.13644970992533,5.458853023619012,0.8610279844833004,5.0,0.6956561760819568,287.9032060702932,8.164424129616247
A_collaborative_none_i0,A,collaborative,none,0,R,6.102204540522296,5.170595264207818,17.21186920695547,4.917306819982289,38.0,7.840701420634995,282.5028079620527,21.2
A_collaborative_none_i0,A,collaborative,none,0,F,0.0,0.0,0.0,0.0,0.0,0.0,288.00000000000034,8.164424129616247
A_collaborative_none_i0,A,collaborative,none,0,B,1.0992347923311299,0.33986016699167615,3.407288551826739,0.006140323602705587,0.0,0.0,287.8948039856109,8.164424129616247
A_collaborative_none_i1,A,collaborative,none,1,M,2.2385808189170184,1.2588667090457992,2.2387528031653243,0.006249999999999967,0.0,0.0,290.7907520158434,8.210927233328942
A_collaborative_none_i1,A,collaborative,none,1,R,7.264190731513321,8.80482673053221,21.71919874020914,7.459404317933455,50.0,10.429223495882324,282.6515385418705,21.151875000000057
A_collaborative_none_i1,A,collaborative,none,1,F,0.0,0.0,0.0,0.0,0.0,0.0,288.00000000000034,8.210927233328942
A_collaborative_none_i1,A,collaborative,none,1,B,1.9531852628650175,0.7958395128230299,4.406995077296121,0.010617565247425402,0.0,0.0,287.5044040226046,8.210927233328942
A_collaborative_none_i2,A,collaborative,none,2,M,7.659682236931985,5.402650255038778,5.153479135855351,0.4421155670597743,0.0,0.0,285.5535663839867,13.217533591032304
A_collaborative_none_i2,A,collaborative,none,2,R,15.669601708475533,30.928868815176422,22.407115519532834,25.914033773935422,49.0,11.629048670567308,275.7817919550813,18.2
A_collaborative_none_i2,A,collaborative,none,2,F,0.0,0.0,0.0,0.0,0.0,0.0,288.00000000000034,13.217533591032304
A_collaborative_none_i2,A,collaborative,none,2,B,8.594319218690556,4.135290706406147,6.875154060480033,0.005713985776106778,0.0,0.0,279.57741448873315,13.217533591032304
A_collaborative_prepare_i0,A,collaborative,prepare,0,M,10.633668123898715,18.23845739706814,13.05655329888817,5.420857295023207,16.0,2.373246465565969,283.705851668139,7.041043051373447
A_collaborative_prepare_i0,A,collaborative,prepare,0,R,27.46425241607466,51.47844818263772,26.574326862109622,50.359085686022546,67.0,15.820636760102131,268.07017746942773,21.2
A_collaborative_prepare_i0,A,collaborative,prepare,0,F,1.2972109757490844,1.2654641879659725,4.565420960203316,1.1492918068214655,0.0,0.0,286.70278902425116,7.041043051373447
A_collaborative_prepare_i0,A,collaborative,prepare,0,B,15.239233697950969,7.142388177350808,8.971825057796789,0.006140323602705587,0.0,0.0,272.9560632926243,7.041043051373447
A_collaborative_prepare_i1,A,collaborative,prepare,1,M,3.6176791018579184,1.7411262674320906,2.8682624645075028,0.006249999999999967,0.0,0.0,289.21528834311033,8.150517129001297
A_collaborative_prepare_i1,A,collaborative,prepare,1,R,10.022981794787501,13.843784860390963,22.991293798376873,9.633512863204421,40.0,8.097034193125257,280.29369704100094,21.151875000000057
A_collaborative_prepare_i1,A,collaborative,prepare,1,F,1.2972109757490844,1.2654641879659725,4.565420960203316,1.1492918068214655,0.0,0.0,286.70278902425116,8.150517129001297
A_collaborative_prepare_i1,A,collaborative,prepare,1,B,3.7275863446757325,1.6924178761906714,5.609434514036374,0.010617565247425402,0.0,0.0,285.3230829533451,8.150517129001297
A_collaborative_prepare_i2,A,collaborative,prepare,2,M,8.370285416124705,6.182798136831386,5.222738532213782,0.4421155670597743,0.0,0.0,284.8149328022886,12.234497328234067
A_collaborative_prepare_i2,A,collaborative,prepare,2,R,22.454925464345845,33.35462748683052,24.050058953288936,36.668146697711016,56.0,13.383798337815316,267.81624932703886,18.2
A_collaborative_prepare_i2,A,collaborative,prepare,2,F,1.2972109757490844,1.2654641879659725,4.565420960203316,1.1492918068214655,0.0,0.0,286.70278902425116,12.234497328234067
A_collaborative_prepare_i2,A,collaborative,prepare,2,B,10.890820206590902,6.64230661160205,8.701516060454994,0.005713985776106778,0.0,0.0,277.2442445539022,12.234497328234067
A_short_window_none_i0,A,short_window,none,0,M,5.3813571793865425,5.188304223836374,4.211627676924748,0.6432958984374961,0.0,0.0,286.7216000297564,13.001562500000073
A_short_window_none_i0,A,short_window,none,0,R,4.158125616463846,2.1619036648438947,4.146605227418981,0.7783668749999876,0.0,0.0,284.164878471556,13.001562500000073
A_short_window_none_i0,A,short_window,none,0,F,0.0,0.0,0.0,0.0,0.0,0.0,288.00000000000034,13.001562500000073
A_short_window_none_i0,A,short_window,none,0,B,1.270868057155164,0.22279670130753235,1.5516680665416538,0.014562844756416931,0.0,0.0,287.9711006349562,13.001562500000073
