run_id,t_s,method,scenario,disturbance,init_variant,vehicle,s_m,y_m,v_mps,a_mps2,q,qdot_nominal_s-1,qdot_base_s-1,qdot_space_s-1,qdot_partner_s-1,qdot_clipped_s-1,K_to_partner_s-1,W_to_partner,z_self,z_other,g_FR_m,target_gap_m,gap_error_m,lower_m,upper_m,interval_width_m,s_ref_m,target_time_s,merge_progress,task_phase,a_nom_mps2,a_safety_target_mps2,a_actual_mps2,jerk_mps3,nominal_actual_difference_mps2,safety_correction_mps2,action_correction_reason,F_disturbance_mps2
A_ample_none_i0,0.3,A,ample,none,0,F,105.53786837997558,0.0,18.406001917773434,-0.3604194570312472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.350492365606367,32.4,-2.049507634393631,83.4521061281946,91.08380587997559,7.631699751780985,,,0.0,PREPARE,-0.34510163010741884,-0.34510163010741884,-0.34510163010741884,0.30635653847656763,0.0,0.0,,0.0
A_ample_none_i0,0.3,A,ample,none,0,B,43.409400139149575,0.0,18.066102518268007,0.220637868791431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.350492365606367,32.4,-2.049507634393631,83.4521061281946,91.08380587997559,7.631699751780985,,,0.0,PREPARE,0.21006288626514918,0.21006288626514918,0.21006288626514918,-0.21149965052563613,0.0,0.0,,0.0
A_ample_none_i0,0.35,A,ample,none,0,M,81.67812499999998,3.6,21.825,-0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.375893402547714,32.4,-2.0241065974522847,84.33966112918924,92.01898709882663,7.6793259696373894,88.17932411400793,,0.0,PREPARE,-1.269700221498013,-1.269700221498013,-1.0,-2.5,0.2697002214980131,0.0,jerk_limit,0.0
A_ample_none_i0,0.35,A,ample,none,0,R,71.28184369627891,0.0,17.87947837974379,-0.3950103380037423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.375893402547714,32.4,-2.0241065974522847,84.33966112918924,92.01898709882663,7.6793259696373894,88.17932411400793,,0.0,PREPARE,-0.3813384463547335,-0.3813384463547335,-0.3813384463547335,0.27343783298017565,0.0,0.0,,0.0
A_ample_none_i0,0.35,A,ample,none,0,F,106.45773709882663,0.0,18.388746836268062,-0.34510163010741884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.375893402547714,32.4,-2.0241065974522847,84.33966112918924,92.01898709882663,7.6793259696373894,,,0.0,PREPARE,-0.3304348108278528,-0.3304348108278528,-0.3304348108278528,0.2933363855913207,0.0,0.0,,0.0
A_ample_none_i0,0.35,A,ample,none,0,B,44.312967843670805,0.0,18.076605662581265,0.21006288626514918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.375893402547714,32.4,-2.0241065974522847,84.33966112918924,92.01898709882663,7.6793259696373894,,,0.0,PREPARE,0.19970479861457185,0.19970479861457185,0.19970479861457185,-0.2071617530115466,0.0,0.0,,0.0
A_ample_none_i0,0.4,A,ample,none,0,M,82.76812499999998,3.6,21.775,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.401420454918348,32.4,-1.9985795450816504,85.22648495230726,92.9555113971265,7.72902644481924,89.09099817471687,,0.0,PREPARE,-1.2842817063207765,-1.2842817063207765,-1.125,-2.5,0.15928170632077654,0.0,jerk_limit,0.0
A_ample_none_i0,0.4,A,ample,none,0,R,72.17534094220815,0.0,17.860411457426054,-0.3813384463547335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.401420454918348,32.4,-1.9985795450816504,85.22648495230726,92.9555113971265,7.72902644481924,89.09099817471687,,0.0,PREPARE,-0.3675613615353089,-0.3675613615353089,-0.3675613615353089,0.2755416963884927,0.0,0.0,,0.0
A_ample_none_i0,0.4,A,ample,none,0,F,107.3767613971265,0.0,18.37222509572667,-0.3304348108278528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.401420454918348,32.4,-1.9985795450816504,85.22648495230726,92.9555113971265,7.72902644481924,,,0.0,PREPARE,-0.31639133136766906,-0.31639133136766906,-0.31639133136766906,0.280869589203675,0.0,0.0,,0.0
A_ample_none_i0,0.4,A,ample,none,0,B,45.217047757798134,0.0,18.086590902511993,0.19970479861457185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.401420454918348,32.4,-1.9985795450816504,85.22648495230726,92.9555113971265,7.72902644481924,,,0.0,PREPARE,0.18957727444980627,0.18957727444980627,0.18957727444980627,-0.20255048329531178,0.0,0.0,,0.0
