run_id,method,ablation,scenario,disturbance,init_variant,stage,speed_deficit_distance_m
S3_ample_none_i1,S3,,ample,none,1,prepare,3.6516768285783856
S3_ample_none_i1,S3,,ample,none,1,execute,27.73370978986713
S3_ample_none_i1,S3,,ample,none,1,handoff,15.246186973436103
S3_ample_none_i1,S3,,ample,none,1,normal_follow,54.531381057327
S3_ample_none_i1,S3,,ample,none,1,failure_handling,0
S3_ample_none_i2,S3,,ample,none,2,prepare,1.9604700740266328
S3_ample_none_i2,S3,,ample,none,2,execute,10.587729040274299
S3_ample_none_i2,S3,,ample,none,2,handoff,5.53422951320941
S3_ample_none_i2,S3,,ample,none,2,normal_follow,15.87515272702747
S3_ample_none_i2,S3,,ample,none,2,failure_handling,0
S3_ample_prepare_i1,S3,,ample,prepare,1,prepare,4.067844860305889
S3_ample_prepare_i1,S3,,ample,prepare,1,execute,28.440320388507196
S3_ample_prepare_i1,S3,,ample,prepare,1,handoff,15.26485597680332
S3_ample_prepare_i1,S3,,ample,prepare,1,normal_follow,54.53297690769497
S3_ample_prepare_i1,S3,,ample,prepare,1,failure_handling,0
S3_ample_prepare_i2,S3,,ample,prepare,2,prepare,1.9604700740266328
S3_ample_prepare_i2,S3,,ample,prepare,2,execute,11.667688821373698
S3_ample_prepare_i2,S3,,ample,prepare,2,handoff,5.622084915816884
S3_ample_prepare_i2,S3,,ample,prepare,2,normal_follow,16.80345861207851
S3_ample_prepare_i2,S3,,ample,prepare,2,failure_handling,0
S3_collaborative_none_i1,S3,,collaborative,none,1,prepare,23.59996035649604
S3_collaborative_none_i1,S3,,collaborative,none,1,execute,66.53537848631315
S3_collaborative_none_i1,S3,,collaborative,none,1,handoff,29.18520089276961
S3_collaborative_none_i1,S3,,collaborative,none,1,normal_follow,147.61907555401336
S3_collaborative_none_i1,S3,,collaborative,none,1,failure_handling,0
S3_collaborative_prepare_i1,S3,,collaborative,prepare,1,prepare,24.766213438365433
S3_collaborative_prepare_i1,S3,,collaborative,prepare,1,execute,66.7177317890614
S3_collaborative_prepare_i1,S3,,collaborative,prepare,1,handoff,29.16586573739345
S3_collaborative_prepare_i1,S3,,collaborative,prepare,1,normal_follow,145.8752592181592
S3_collaborative_prepare_i1,S3,,collaborative,prepare,1,failure_handling,0
S3_collaborative_prepare_i2,S3,,collaborative,prepare,2,prepare,9.28699482529156
S3_collaborative_prepare_i2,S3,,collaborative,prepare,2,execute,50.72597703775303
S3_collaborative_prepare_i2,S3,,collaborative,prepare,2,handoff,28.438971462733114
S3_collaborative_prepare_i2,S3,,collaborative,prepare,2,normal_follow,151.6272322389936
S3_collaborative_prepare_i2,S3,,collaborative,prepare,2,failure_handling,0
S3_short_window_none_i0,S3,,short_window,none,0,prepare,56.44471404727112
S3_short_window_none_i0,S3,,short_window,none,0,execute,0
S3_short_window_none_i0,S3,,short_window,none,0,handoff,0
S3_short_window_none_i0,S3,,short_window,none,0,normal_follow,0
S3_short_window_none_i0,S3,,short_window,none,0,failure_handling,162.00578340176637
S3_short_window_none_i1,S3,,short_window,none,1,prepare,127.40591574504884
S3_short_window_none_i1,S3,,short_window,none,1,execute,0
