environment_id,scenario,disturbance,init_variant,method_a,method_b,a_mission_valid,b_mission_valid,a_full_valid,b_full_valid,common_mission,common_full,cost_a_m,cost_b_m,delta_b_minus_a_all_m,delta_b_minus_a_common_mission_m,delta_b_minus_a_common_full_m
ample_prepare_i0,ample,prepare,0,P,S1,1,1,1,1,1,1,6.102740656339768,5.227344481593737,-0.8753961747460313,-0.8753961747460313,-0.8753961747460313
ample_prepare_i0,ample,prepare,0,P,S2,1,1,1,1,1,1,6.102740656339768,7.309334090953364,1.2065934346135956,1.2065934346135956,1.2065934346135956
ample_prepare_i0,ample,prepare,0,P,S3,1,1,1,0,1,0,6.102740656339768,6.934235018227503,0.8314943618877351,0.8314943618877351,
ample_prepare_i0,ample,prepare,0,S1,S2,1,1,1,1,1,1,5.227344481593737,7.309334090953364,2.081989609359627,2.081989609359627,2.081989609359627
ample_prepare_i0,ample,prepare,0,S1,S3,1,1,1,0,1,0,5.227344481593737,6.934235018227503,1.7068905366337663,1.7068905366337663,
ample_prepare_i0,ample,prepare,0,S2,S3,1,1,1,0,1,0,7.309334090953364,6.934235018227503,-0.3750990727258605,-0.3750990727258605,
ample_prepare_i1,ample,prepare,1,P,S1,1,1,1,1,1,1,74.22036893475807,179.9929563999648,105.77258746520674,105.77258746520674,105.77258746520674
ample_prepare_i1,ample,prepare,1,P,S2,1,1,1,1,1,1,74.22036893475807,96.38159631041218,22.161227375654107,22.161227375654107,22.161227375654107
ample_prepare_i1,ample,prepare,1,P,S3,1,1,1,1,1,1,74.22036893475807,102.30599813331138,28.085629198553306,28.085629198553306,28.085629198553306
ample_prepare_i1,ample,prepare,1,S1,S2,1,1,1,1,1,1,179.9929563999648,96.38159631041218,-83.61136008955263,-83.61136008955263,-83.61136008955263
ample_prepare_i1,ample,prepare,1,S1,S3,1,1,1,1,1,1,179.9929563999648,102.30599813331138,-77.68695826665343,-77.68695826665343,-77.68695826665343
ample_prepare_i1,ample,prepare,1,S2,S3,1,1,1,1,1,1,96.38159631041218,102.30599813331138,5.924401822899199,5.924401822899199,5.924401822899199
ample_prepare_i2,ample,prepare,2,P,S1,1,1,1,1,1,1,18.06044585838188,54.8217090093388,36.76126315095692,36.76126315095692,36.76126315095692
ample_prepare_i2,ample,prepare,2,P,S2,1,1,1,1,1,1,18.06044585838188,36.71235161839737,18.65190576001549,18.65190576001549,18.65190576001549
ample_prepare_i2,ample,prepare,2,P,S3,1,1,1,1,1,1,18.06044585838188,36.053702423295725,17.993256564913846,17.993256564913846,17.993256564913846
ample_prepare_i2,ample,prepare,2,S1,S2,1,1,1,1,1,1,54.8217090093388,36.71235161839737,-18.109357390941426,-18.109357390941426,-18.109357390941426
ample_prepare_i2,ample,prepare,2,S1,S3,1,1,1,1,1,1,54.8217090093388,36.053702423295725,-18.76800658604307,-18.76800658604307,-18.76800658604307
ample_prepare_i2,ample,prepare,2,S2,S3,1,1,1,1,1,1,36.71235161839737,36.053702423295725,-0.6586491951016455,-0.6586491951016455,-0.6586491951016455
collaborative_none_i0,collaborative,none,0,P,S1,1,1,1,1,1,1,40.61887522326953,89.29867514873462,48.67979992546509,48.67979992546509,48.67979992546509
collaborative_none_i0,collaborative,none,0,P,S2,1,1,1,1,1,1,40.61887522326953,57.95555203259336,17.336676809323833,17.336676809323833,17.336676809323833
collaborative_none_i0,collaborative,none,0,P,S3,1,1,1,1,1,1,40.61887522326953,52.91503081608769,12.296155592818167,12.296155592818167,12.296155592818167
collaborative_none_i0,collaborative,none,0,S1,S2,1,1,1,1,1,1,89.29867514873462,57.95555203259336,-31.343123116141257,-31.343123116141257,-31.343123116141257
collaborative_none_i0,collaborative,none,0,S1,S3,1,1,1,1,1,1,89.29867514873462,52.91503081608769,-36.383644332646924,-36.383644332646924,-36.383644332646924
collaborative_none_i0,collaborative,none,0,S2,S3,1,1,1,1,1,1,57.95555203259336,52.91503081608769,-5.040521216505667,-5.040521216505667,-5.040521216505667
collaborative_none_i1,collaborative,none,1,P,S1,1,1,1,0,1,0,253.6481543586394,321.119849781466,67.47169542282657,67.47169542282657,
collaborative_none_i1,collaborative,none,1,P,S2,1,1,1,1,1,1,253.6481543586394,270.77666327766724,17.128508919027837,17.128508919027837,17.128508919027837
collaborative_none_i1,collaborative,none,1,P,S3,1,1,1,1,1,1,253.6481543586394,266.93961528959215,13.291460930952752,13.291460930952752,13.291460930952752
collaborative_none_i1,collaborative,none,1,S1,S2,1,1,0,1,1,0,321.119849781466,270.77666327766724,-50.343186503798734,-50.343186503798734,
collaborative_none_i1,collaborative,none,1,S1,S3,1,1,0,1,1,0,321.119849781466,266.93961528959215,-54.18023449187382,-54.18023449187382,
collaborative_none_i1,collaborative,none,1,S2,S3,1,1,1,1,1,1,270.77666327766724,266.93961528959215,-3.837047988075085,-3.837047988075085,-3.837047988075085
collaborative_none_i2,collaborative,none,2,P,S1,1,1,1,1,1,1,73.28143894019442,121.17346602770436,47.892027087509945,47.892027087509945,47.892027087509945
collaborative_none_i2,collaborative,none,2,P,S2,1,1,1,1,1,1,73.28143894019442,96.00140176192878,22.719962821734356,22.719962821734356,22.719962821734356
collaborative_none_i2,collaborative,none,2,P,S3,1,1,1,1,1,1,73.28143894019442,88.43054771361939,15.14910877342497,15.14910877342497,15.14910877342497
collaborative_none_i2,collaborative,none,2,S1,S2,1,1,1,1,1,1,121.17346602770436,96.00140176192878,-25.17206426577559,-25.17206426577559,-25.17206426577559
collaborative_none_i2,collaborative,none,2,S1,S3,1,1,1,1,1,1,121.17346602770436,88.43054771361939,-32.742918314084974,-32.742918314084974,-32.742918314084974
collaborative_none_i2,collaborative,none,2,S2,S3,1,1,1,1,1,1,96.00140176192878,88.43054771361939,-7.570854048309386,-7.570854048309386,-7.570854048309386
collaborative_prepare_i0,collaborative,prepare,0,P,S1,1,1,1,1,1,1,44.098422037326856,90.60940873100884,46.510986693681986,46.510986693681986,46.510986693681986
collaborative_prepare_i0,collaborative,prepare,0,P,S2,1,0,1,0,0,0,44.098422037326856,65.31070200617307,21.212279968846218,,
collaborative_prepare_i0,collaborative,prepare,0,P,S3,1,0,1,0,0,0,44.098422037326856,62.94362929755627,18.845207260229415,,
collaborative_prepare_i0,collaborative,prepare,0,S1,S2,1,0,1,0,0,0,90.60940873100884,65.31070200617307,-25.298706724835768,,
collaborative_prepare_i0,collaborative,prepare,0,S1,S3,1,0,1,0,0,0,90.60940873100884,62.94362929755627,-27.66577943345257,,
collaborative_prepare_i0,collaborative,prepare,0,S2,S3,0,0,0,0,0,0,65.31070200617307,62.94362929755627,-2.367072708616803,,
collaborative_prepare_i1,collaborative,prepare,1,P,S1,1,1,1,0,1,0,254.94537100653577,322.4170641218966,67.47169311536084,67.47169311536084,
collaborative_prepare_i1,collaborative,prepare,1,P,S2,1,1,1,1,1,1,254.94537100653577,271.6996719509537,16.754300944417935,16.754300944417935,16.754300944417935
collaborative_prepare_i1,collaborative,prepare,1,P,S3,1,1,1,1,1,1,254.94537100653577,266.52507018297945,11.579699176443683,11.579699176443683,11.579699176443683
collaborative_prepare_i1,collaborative,prepare,1,S1,S2,1,1,0,1,1,0,322.4170641218966,271.6996719509537,-50.7173921709429,-50.7173921709429,
collaborative_prepare_i1,collaborative,prepare,1,S1,S3,1,1,0,1,1,0,322.4170641218966,266.52507018297945,-55.89199393891715,-55.89199393891715,
collaborative_prepare_i1,collaborative,prepare,1,S2,S3,1,1,1,1,1,1,271.6996719509537,266.52507018297945,-5.174601767974252,-5.174601767974252,-5.174601767974252
collaborative_prepare_i2,collaborative,prepare,2,P,S1,1,1,1,1,1,1,225.78676094339556,279.70562051600785,53.91885957261229,53.91885957261229,53.91885957261229
collaborative_prepare_i2,collaborative,prepare,2,P,S2,1,1,1,1,1,1,225.78676094339556,251.41348292584308,25.62672198244752,25.62672198244752,25.62672198244752
collaborative_prepare_i2,collaborative,prepare,2,P,S3,1,1,1,1,1,1,225.78676094339556,240.0791755647713,14.292414621375741,14.292414621375741,14.292414621375741
collaborative_prepare_i2,collaborative,prepare,2,S1,S2,1,1,1,1,1,1,279.70562051600785,251.41348292584308,-28.29213759016477,-28.29213759016477,-28.29213759016477
collaborative_prepare_i2,collaborative,prepare,2,S1,S3,1,1,1,1,1,1,279.70562051600785,240.0791755647713,-39.62644495123655,-39.62644495123655,-39.62644495123655
collaborative_prepare_i2,collaborative,prepare,2,S2,S3,1,1,1,1,1,1,251.41348292584308,240.0791755647713,-11.33430736107178,-11.33430736107178,-11.33430736107178
short_window_none_i0,short_window,none,0,P,S1,0,0,0,0,0,0,218.45049744903747,218.45049744903747,0.0,,
short_window_none_i0,short_window,none,0,P,S2,0,0,0,0,0,0,218.45049744903747,218.45049744903747,0.0,,
short_window_none_i0,short_window,none,0,P,S3,0,0,0,0,0,0,218.45049744903747,218.45049744903747,0.0,,
short_window_none_i0,short_window,none,0,S1,S2,0,0,0,0,0,0,218.45049744903747,218.45049744903747,0.0,,
short_window_none_i0,short_window,none,0,S1,S3,0,0,0,0,0,0,218.45049744903747,218.45049744903747,0.0,,
short_window_none_i0,short_window,none,0,S2,S3,0,0,0,0,0,0,218.45049744903747,218.45049744903747,0.0,,
short_window_none_i1,short_window,none,1,P,S1,0,0,0,0,0,0,373.08503652485945,373.08503652485945,0.0,,
short_window_none_i1,short_window,none,1,P,S2,0,0,0,0,0,0,373.08503652485945,373.08503652485945,0.0,,
short_window_none_i1,short_window,none,1,P,S3,0,0,0,0,0,0,373.08503652485945,373.08503652485945,0.0,,
short_window_none_i1,short_window,none,1,S1,S2,0,0,0,0,0,0,373.08503652485945,373.08503652485945,0.0,,
short_window_none_i1,short_window,none,1,S1,S3,0,0,0,0,0,0,373.08503652485945,373.08503652485945,0.0,,
short_window_none_i1,short_window,none,1,S2,S3,0,0,0,0,0,0,373.08503652485945,373.08503652485945,0.0,,
short_window_none_i2,short_window,none,2,P,S1,0,0,0,0,0,0,242.04447389860383,242.04447389860383,0.0,,
short_window_none_i2,short_window,none,2,P,S2,0,0,0,0,0,0,242.04447389860383,242.04447389860383,0.0,,
short_window_none_i2,short_window,none,2,P,S3,0,0,0,0,0,0,242.04447389860383,242.04447389860383,0.0,,
short_window_none_i2,short_window,none,2,S1,S2,0,0,0,0,0,0,242.04447389860383,242.04447389860383,0.0,,
short_window_none_i2,short_window,none,2,S1,S3,0,0,0,0,0,0,242.04447389860383,242.04447389860383,0.0,,
short_window_none_i2,short_window,none,2,S2,S3,0,0,0,0,0,0,242.04447389860383,242.04447389860383,0.0,,
short_window_prepare_i0,short_window,prepare,0,P,S1,0,0,0,0,0,0,219.74771335138377,219.74771335138377,0.0,,
short_window_prepare_i0,short_window,prepare,0,P,S2,0,0,0,0,0,0,219.74771335138377,219.74771335138377,0.0,,
