run_id,t_s,event,decision,valid_plan,reason,candidate_count,decision_seconds,action,start_s,completion_s,completion_s_m,completion_t_s,predicted_min_h_m,predicted_min_net_m,execution_margin_mps2,raw_gradient_M,raw_gradient_R,gradient_M,gradient_R,partner_M,partner_R,feedback_M,feedback_R,raw_K_MR,raw_K_RM,raw_W,K_MR,K_RM,W,z_M,z_R,delta_z_M,delta_z_R,base_z_M,base_z_R,proposal_z_M,proposal_z_R,accepted_z_M,accepted_z_R,state_update_accepted,proposal_valid,partner_enabled,feedback_enabled,coupling_ablation,phase
S3_collaborative_none_i1,6.0,plan_generated,1,1,,7,0.08112460002303123,hold_and_refine;state_update_rejected,4.0,169.97502128465706,169.97502128465706,6.999999999999999,0.590909196690073,5.598001941198629,1.2330519622202736,0.362730098715942,0.5586558817523858,0.362730098715942,0.5586558817523858,-0.02471058134283478,0.0077892196653682804,-0.006529141776886955,-0.010055805871542943,0.2433056752474047,0.0766943247525953,0.22032667095445196,0.2433056752474047,0.0766943247525953,0.22032667095445196,0.4993481425303016,0.3468531424313292,0.0,0.0,0.4993481425303016,0.3468531424313292,0.4812315402577892,0.34294502418879125,0.4993481425303016,0.3468531424313292,0,0,1,1,,EXECUTE
S3_collaborative_none_i1,6.5,plan_generated,1,1,,7,0.05445669998880476,hold_and_refine,4.0,169.98128160390183,169.98128160390183,6.999999999999997,0.5949943878014707,5.605679737178247,1.2333015406455956,0.24581569091699942,0.30438963693933735,0.24581569091699942,0.30438963693933735,-0.023970205443805716,0.007347702945459614,-0.0044246824365059894,-0.005479013464908072,0.24492267001607915,0.07507732998392086,0.21231423832169638,0.24492267001607915,0.07507732998392086,0.21231423832169638,0.4826539578774942,0.34501266203215436,-0.016694184652807365,-0.0018404803991748375,0.4993481425303016,0.3468531424313292,0.4826539578774942,0.34501266203215436,0.4826539578774942,0.34501266203215436,1,1,1,1,,EXECUTE
S3_collaborative_prepare_i1,0.0,plan_generated,1,0,finite_search_no_valid_plan,96,0.0892998999916017,continue_bounded_preparation,,,,,-0.47244431153736244,6.051029235816441,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,,0,0,,PREPARE
S3_collaborative_prepare_i1,0.5,plan_generated,1,0,finite_search_no_valid_plan,96,0.10074670001631603,continue_bounded_preparation,,,,,0.5297477102821961,7.481874999999886,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,,0,0,,PREPARE
S3_collaborative_prepare_i1,1.0,plan_generated,1,0,finite_search_no_valid_plan,96,0.09732790000271052,continue_bounded_preparation,,,,,0.6631249999999511,7.659374999999938,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,,0,0,,PREPARE
S3_collaborative_prepare_i1,1.5,plan_generated,1,0,finite_search_no_valid_plan,96,0.08010739996097982,continue_bounded_preparation,,,,,1.5317008616316334,7.394766210676875,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,,0,0,,PREPARE
S3_collaborative_prepare_i1,2.0,plan_generated,1,0,finite_search_no_valid_plan,96,0.0938855999847874,continue_bounded_preparation,,,,,1.1506249999998728,7.399999999999733,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,,0,0,,PREPARE
S3_collaborative_prepare_i1,2.5,plan_generated,1,0,finite_search_no_valid_plan,96,0.09620660002110526,continue_bounded_preparation,,,,,1.5800000000004024,8.200000000000397,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,,0,0,,PREPARE
S3_collaborative_prepare_i1,3.0,plan_generated,1,0,finite_search_no_valid_plan,96,0.0987143000238575,continue_bounded_preparation,,,,,1.9299999999996338,8.299310669299995,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,,0,0,,PREPARE
S3_collaborative_prepare_i1,3.5,plan_generated,1,1,,102,0.24240099999587983,new_joint_plan,4.0,169.05620539122557,169.05620539122557,7.0,0.4676348018907408,5.3300581099191335,1.2207456052729855,738.7452373218194,-716.5343810074451,4.0,-4.0,-0.07572517159989914,0.03238233108029431,-0.072,0.072,0.22414776320984536,0.09585223679015464,0.39009934858642425,0.22414776320984536,0.09585223679015464,0.39009934858642425,0.5894707475333837,0.3828578322068138,-0.07719591913328294,0.04952449887348048,0.6666666666666666,0.3333333333333333,0.5894707475333837,0.3828578322068138,0.5894707475333837,0.3828578322068138,1,1,1,1,,PREPARE
