source_run_id,method,scenario,disturbance,init_variant,snapshot_phase,ablation,vehicle,qdot_space_s-1,qdot_partner_s-1,qdot_clipped_s-1,K_to_partner_s-1,W_to_partner,a_nom_mps2,s_ref_m,target_gap_physical_m
C_ample_prepare_i2,C,ample,prepare,2,EXECUTE,no_partner,R,0.012095462186027249,0.0,0.37209546218602724,0.17,0.2014057142906158,-0.11702125027975696,112.58176374071094,27.2
C_ample_prepare_i2,C,ample,prepare,2,EXECUTE,no_W,M,0.0,-0.0,0.42,0.17,0.0,-1.704711233414654,112.58176374071094,27.2
C_ample_prepare_i2,C,ample,prepare,2,EXECUTE,no_W,R,0.012095462186027249,0.0,0.37209546218602724,0.17,0.0,-0.11702125027975696,112.58176374071094,27.2
D_ample_none_i0,D,ample,none,0,EXECUTE,full,M,0.0,-0.0030350555616016272,0.4169649444383984,0.16852065634227129,0.1663066875624304,-1.2490653469490147,104.69517795701228,30.2
D_ample_none_i0,D,ample,none,0,EXECUTE,full,R,0.0038368676617483288,0.0030883414945354574,0.3669252091562838,0.17147934365772874,0.1663066875624304,0.007235322945177529,104.69517795701228,30.2
D_ample_none_i0,D,ample,none,0,EXECUTE,symmetric_k,M,0.0,-0.0030616985280685427,0.41693830147193145,0.17,0.1663066875624304,-1.2490653469490147,104.69517795701228,30.2
D_ample_none_i0,D,ample,none,0,EXECUTE,symmetric_k,R,0.0038368676617483288,0.0030616985280685427,0.36689856618981687,0.17,0.1663066875624304,0.007235322945177529,104.69517795701228,30.2
D_ample_none_i0,D,ample,none,0,EXECUTE,no_space,M,0.0,-0.0030350555616016272,0.4169649444383984,0.16852065634227129,0.1663066875624304,-1.2490653469490147,104.69517795701228,30.2
D_ample_none_i0,D,ample,none,0,EXECUTE,no_space,R,0.0,0.0030883414945354574,0.36308834149453545,0.17147934365772874,0.1663066875624304,0.007235322945177529,104.69517795701228,30.2
D_ample_none_i2,D,ample,none,2,EXECUTE,full,M,0.0,-0.004248422042323717,0.41575157795767625,0.16769801990358035,0.2049985572562275,-1.594856826669805,112.61121246665661,27.2
D_ample_none_i2,D,ample,none,2,EXECUTE,full,R,0.012940837001465297,0.004365057682842821,0.37730589468430814,0.17230198009641967,0.2049985572562275,0.15217784055276468,112.61121246665661,27.2
D_ample_none_i2,D,ample,none,2,EXECUTE,symmetric_k,M,0.0,-0.004306739862583269,0.4156932601374167,0.17,0.2049985572562275,-1.594856826669805,112.61121246665661,27.2
D_ample_none_i2,D,ample,none,2,EXECUTE,symmetric_k,R,0.012940837001465297,0.004306739862583269,0.3772475768640486,0.17,0.2049985572562275,0.15217784055276468,112.61121246665661,27.2
D_ample_none_i2,D,ample,none,2,EXECUTE,no_space,M,0.0,-0.004248422042323717,0.41575157795767625,0.16769801990358035,0.2049985572562275,-1.594856826669805,112.61121246665661,27.2
D_ample_none_i2,D,ample,none,2,EXECUTE,no_space,R,0.0,0.004365057682842821,0.36436505768284283,0.17230198009641967,0.2049985572562275,0.15217784055276468,112.61121246665661,27.2
D_ample_prepare_i0,D,ample,prepare,0,EXECUTE,full,M,0.0,-0.0030350555616016272,0.4169649444383984,0.16852065634227129,0.1663066875624304,-1.2490653469490147,104.69517795701228,30.2
D_ample_prepare_i0,D,ample,prepare,0,EXECUTE,full,R,0.0038368676617483288,0.0030883414945354574,0.3669252091562838,0.17147934365772874,0.1663066875624304,0.007235322945177529,104.69517795701228,30.2
D_ample_prepare_i0,D,ample,prepare,0,EXECUTE,symmetric_k,M,0.0,-0.0030616985280685427,0.41693830147193145,0.17,0.1663066875624304,-1.2490653469490147,104.69517795701228,30.2
D_ample_prepare_i0,D,ample,prepare,0,EXECUTE,symmetric_k,R,0.0038368676617483288,0.0030616985280685427,0.36689856618981687,0.17,0.1663066875624304,0.007235322945177529,104.69517795701228,30.2
D_ample_prepare_i0,D,ample,prepare,0,EXECUTE,no_space,M,0.0,-0.0030350555616016272,0.4169649444383984,0.16852065634227129,0.1663066875624304,-1.2490653469490147,104.69517795701228,30.2
D_ample_prepare_i0,D,ample,prepare,0,EXECUTE,no_space,R,0.0,0.0030883414945354574,0.36308834149453545,0.17147934365772874,0.1663066875624304,0.007235322945177529,104.69517795701228,30.2
D_ample_prepare_i2,D,ample,prepare,2,EXECUTE,full,M,0.0,-0.004183835513011305,0.41581616448698866,0.16784548101849286,0.2014057142906158,-1.7052817963949662,112.58165619186998,27.2
D_ample_prepare_i2,D,ample,prepare,2,EXECUTE,full,R,0.012095462186027249,0.004291245649686875,0.3763867078357141,0.17215451898150716,0.2014057142906158,-0.11702125027975696,112.58165619186998,27.2
D_ample_prepare_i2,D,ample,prepare,2,EXECUTE,symmetric_k,M,0.0,-0.004237540581349089,0.4157624594186509,0.17,0.2014057142906158,-1.7052817963949662,112.58165619186998,27.2
D_ample_prepare_i2,D,ample,prepare,2,EXECUTE,symmetric_k,R,0.012095462186027249,0.004237540581349089,0.3763330027673763,0.17,0.2014057142906158,-0.11702125027975696,112.58165619186998,27.2
D_ample_prepare_i2,D,ample,prepare,2,EXECUTE,no_space,M,0.0,-0.004183835513011305,0.41581616448698866,0.16784548101849286,0.2014057142906158,-1.7052817963949662,112.58165619186998,27.2
D_ample_prepare_i2,D,ample,prepare,2,EXECUTE,no_space,R,0.0,0.004291245649686875,0.36429124564968685,0.17215451898150716,0.2014057142906158,-0.11702125027975696,112.58165619186998,27.2
