run_id,method,ablation,scenario,disturbance,init_variant,outcome,success,task_phase,failure_type,merge_start_time_s,completion_time_s,physical_target_gap_m,physical_gap_floor_m,min_net_gap_m,hard_violation_count,road_violation_count,safety_recheck_violation_count,safety_correction_count,action_saturation_count,safety_correction_abs_mean_mps2,max_abs_jerk_mps3,mean_abs_jerk_mps3,compute_time_s,pair_gain_total_error_max_s-1,space_feedback_abs_mean_s-1,partner_feedback_abs_mean_s-1,effective_q_delta_abs_mean_s-1,q_saturation_fraction,space_feedback_prepare_mean_s-1,space_feedback_execute_mean_s-1,space_feedback_failure_handling_mean_s-1,mean_spatial_reference_offset_m,K_MR_mean_s-1,K_RM_mean_s-1,total_speed_deficit_distance_m,total_speed_deficit_integral_m_s,total_effort_integral_m2_s3
B_collaborative_none_i2,B,,collaborative,none,2,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,16.389304332473568,0,0,0,0,28,0.0,2.500000000000001,0.11952499702354893,0.32021869998425245,0.0,0.0,0.0,0.06299999999999999,0.153125,0.0,0.0,0.0,0.20066896874999984,0.0,0.0,4.67824481555187,4.67824481555187,4.578472416498721
B_collaborative_prepare_i0,B,,collaborative,prepare,0,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,16.263499321818482,0,0,0,0,52,0.0,2.5,0.197747969325113,0.3184912000433542,0.0,0.0,0.0,0.06299999999999999,0.153125,0.0,0.0,0.0,0.16667015625,0.0,0.0,4.607850515920454,4.607850515920454,6.432915225366925
B_collaborative_prepare_i1,B,,collaborative,prepare,1,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,16.27370530986543,0,0,0,0,60,0.0,2.5,0.20826502653058596,0.27668710000580177,0.0,0.0,0.0,0.06299999999999999,0.153125,0.0,0.0,0.0,0.29326349999999984,0.0,0.0,3.2064166832866112,3.2064166832866112,6.756878313954253
B_collaborative_prepare_i2,B,,collaborative,prepare,2,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,16.276303755683625,0,0,0,0,58,0.0,2.5,0.24053238560472198,0.3009977000183426,0.0,0.0,0.0,0.06299999999999999,0.15625,0.0,0.0,0.0,0.20066896874999984,0.0,0.0,9.208259347886475,9.208259347886475,8.106211337924021
B_short_window_none_i0,B,,short_window,none,0,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,12.987126137708454,0,0,0,0,30,0.0,2.500000000000002,0.17928597645903993,0.29730099998414516,0.0,0.0,0.0,0.06299999999999999,0.1625,0.0,0.0,0.0,0.09734296874999995,0.0,0.0,17.874943026057206,17.874943026057206,10.165079585215503
B_short_window_none_i1,B,,short_window,none,1,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,12.853083217585333,0,0,0,0,37,0.0,2.5,0.19633639052608481,0.3249328999663703,0.0,0.0,0.0,0.06299999999999999,0.1625,0.0,0.0,0.0,0.2239363125000003,0.0,0.0,15.559242021626503,15.559242021626503,9.157279411863687
B_short_window_none_i2,B,,short_window,none,2,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,10.204875000000012,0,0,0,0,26,0.0,2.500000000000002,0.2065614672960085,0.3312261000392027,0.0,0.0,0.0,0.06299999999999999,0.165625,0.0,0.0,0.0,0.13134178125000032,0.0,0.0,23.93624387294934,23.93624387294934,12.34997766853834
B_short_window_prepare_i0,B,,short_window,prepare,0,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,12.987126137708454,0,0,0,0,69,0.0,2.500000000000002,0.29828741019363514,0.2820320000173524,0.0,0.0,0.0,0.06299999999999999,0.165625,0.0,0.0,0.0,0.09734296874999995,0.0,0.0,23.601275563138042,23.601275563138042,16.122024341526657
B_short_window_prepare_i1,B,,short_window,prepare,1,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,12.853083217585333,0,0,0,0,77,0.0,2.5,0.31584338006489066,0.3042851000209339,0.0,0.0,0.0,0.06299999999999999,0.165625,0.0,0.0,0.0,0.2239363125000003,0.0,0.0,20.867469672145734,20.867469672145734,14.557358092651095
B_short_window_prepare_i2,B,,short_window,prepare,2,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,10.204875000000012,0,0,0,0,71,0.0,2.5,0.3328063410670318,0.31739409995498136,0.0,0.0,0.0,0.06299999999999999,0.16875,0.0,0.0,0.0,0.13134178125000032,0.0,0.0,29.821782579408545,29.821782579408545,19.389053375633992
