run_id,method,ablation,scenario,disturbance,init_variant,vehicle,speed_deficit_distance_m,speed_deficit_integral_m_s,accel_squared_integral,abs_jerk_integral,abs_nominal_actual_difference_integral,safety_correction_count,safety_correction_abs_integral,action_saturation_count,safety_recheck_violation_count,distance_m,min_net_gap_m,min_FR_gap_m,min_RB_gap_m,min_MF_gap_m,min_MR_gap_m,prepare_speed_deficit_distance_m,execute_speed_deficit_distance_m,success_release_speed_deficit_distance_m,failure_handling_speed_deficit_distance_m,prepare_distance_m,execute_distance_m,success_release_distance_m,failure_handling_distance_m
B_collaborative_prepare_i2,B,,collaborative,prepare,2,F,1.2972109757490844,1.2972109757490844,1.2654641879659725,4.565420960203316,1.1492918068214655,0.0,0.0,29.0,0.0,286.70278894179614,18.229843749999997,18.229843749999997,nan,nan,nan,1.2375049224728207,0.0,0.0,0.05970605327626136,86.96122624144061,0.0,0.0,199.74156270035553
B_collaborative_prepare_i2,B,,collaborative,prepare,2,B,0.9476504102155732,0.9476504102155732,0.1949699797643038,1.3101963284903584,0.005713985776106778,0.0,0.0,1.0,0.0,288.93040987239056,16.276303755683625,nan,16.276303755683625,nan,nan,0.6404969499823872,0.0,0.0,0.30715346023318607,87.60992672679228,0.0,0.0,201.32048314559827
B_short_window_none_i0,B,,short_window,none,0,M,4.309823849523986,4.309823849523986,5.6462053180790255,5.4825370855925755,0.6209155796877399,0.0,0.0,22.0,0.0,288.4476607776912,nan,nan,nan,nan,nan,2.054413983953078,0.0,0.0,2.2554098655709085,92.66422659373094,0.0,0.0,195.78343418396028
B_short_window_none_i0,B,,short_window,none,0,R,8.614602370347285,8.614602370347285,3.566398423084857,3.486803472060964,0.06440956249999774,0.0,0.0,6.0,0.0,279.8054193340022,12.987126137708454,12.987126137708454,14.799272435517889,nan,nan,6.557145589788014,0.0,0.0,2.057456780559269,83.61951021484543,0.0,0.0,196.18590911915675
B_short_window_none_i0,B,,short_window,none,0,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.99999999999795,12.987126137708454,12.987126137708454,nan,nan,nan,0.0,0.0,0.0,0.0,90.00000000000057,0.0,0.0,197.99999999999739
B_short_window_none_i0,B,,short_window,none,0,B,4.950516806185935,4.950516806185935,0.9524758440516207,2.5049619357250124,0.014562844756416931,0.0,0.0,2.0,0.0,283.84212555469674,14.799272435517889,nan,14.799272435517889,nan,nan,2.281183314900996,0.0,0.0,2.6693334912849354,87.91352535475451,0.0,0.0,195.92860019994222
B_short_window_none_i1,B,,short_window,none,1,M,1.7684827118463649,1.7684827118463649,3.9671685941162136,6.119022213470551,0.8715991961938719,0.0,0.0,27.0,0.0,292.18370322693636,nan,nan,nan,nan,nan,0.4528329449796461,0.0,0.0,1.3156497668667189,95.47859697779637,0.0,0.0,196.70510624914
B_short_window_none_i1,B,,short_window,none,1,R,8.753709634222187,8.753709634222187,4.152046031296975,3.793692641013041,0.14007659999999456,0.0,0.0,8.0,0.0,279.80555000236984,12.853083217585333,12.853083217585333,14.813830024680168,nan,nan,6.64844817064771,0.0,0.0,2.1052614635744797,83.661598291741,0.0,0.0,196.14395171062884
B_short_window_none_i1,B,,short_window,none,1,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.99999999999795,12.853083217585333,12.853083217585333,nan,nan,nan,0.0,0.0,0.0,0.0,90.00000000000057,0.0,0.0,197.99999999999739
B_short_window_none_i1,B,,short_window,none,1,B,5.037049675557951,5.037049675557951,1.0380647864504975,2.6528141391858475,0.01842156096333897,0.0,0.0,2.0,0.0,283.8153616707474,14.813830024680168,nan,14.813830024680168,nan,nan,2.30353403714816,0.0,0.0,2.7335156384097914,87.93771645684413,0.0,0.0,195.87764521390326
