run_id,t_s,method,ablation,scenario,disturbance,init_variant,vehicle,s_m,y_m,v_mps,a_mps2,q,qdot_nominal_s-1,qdot_base_s-1,qdot_space_s-1,qdot_partner_s-1,qdot_clipped_s-1,K_to_partner_s-1,W_to_partner,z_self,z_other,g_FR_m,target_gap_physical_m,target_gap_process_m,gap_error_m,lower_m,upper_m,interval_width_m,s_ref_m,s_ref_dot_mps,s_ref_ddot_mps2,reference_kind,target_time_s,merge_progress,task_phase,a_nom_mps2,a_safety_target_mps2,a_actual_mps2,jerk_mps3,nominal_actual_difference_mps2,safety_correction_mps2,safety_correction_applied,action_saturation_applied,action_correction_reason,F_disturbance_mps2,final_state
A_ample_none_i0,0.4,A,,ample,none,0,B,45.218107332483584,0.0,18.096479152999535,0.25637363999110957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.35216603721818,30.2,30.2,0.1521660372181799,85.3720269229817,92.9240391438768,7.552012220895094,,,,slot_midpoint,,0.0,PREPARE,0.2546078982749075,0.2546078982749075,0.2546078982749075,-0.0353148343240417,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.45,A,,ample,none,0,M,83.86998330382752,3.6,21.840382869170575,-0.4907570880000627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.363226291007802,30.2,30.2,0.16322629100780262,86.28449647432234,93.85084315853892,7.566346684216583,90.06766981643062,18.392576510891164,0.0,slot_midpoint,,0.0,PREPARE,-0.5192621868168721,-0.5192621868168721,-0.5192621868168721,-0.5701019763361881,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.45,A,,ample,none,0,R,73.13175087174082,0.0,18.150701721661477,0.30365940046441225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.363226291007802,30.2,30.2,0.16322629100780262,86.28449647432234,93.85084315853892,7.566346684216583,90.06766981643062,18.392576510891164,0.0,slot_midpoint,,0.0,PREPARE,0.2775233755402448,0.2775233755402448,0.2775233755402448,-0.5227204984833489,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.45,A,,ample,none,0,F,108.29497716274862,0.0,18.356405529158287,-0.31639133136766906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.363226291007802,30.2,30.2,0.16322629100780262,86.28449647432234,93.85084315853892,7.566346684216583,,,,slot_midpoint,,0.0,PREPARE,-0.30294469978454436,-0.30294469978454436,-0.30294469978454436,0.26893263166249404,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.45,A,,ample,none,0,B,46.1232495500064,0.0,18.10920954791328,0.2546078982749075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.363226291007802,30.2,30.2,0.16322629100780262,86.28449647432234,93.85084315853892,7.566346684216583,,,,slot_midpoint,,0.0,PREPARE,0.25256260628336624,0.25256260628336624,0.25256260628336624,-0.04090583983082485,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.5,A,,ample,none,0,M,84.96135336955253,3.6,21.814419759829732,-0.5192621868168721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.372785896288487,30.2,30.2,0.17278589628848806,87.19723512369679,94.7773718423914,7.580136718694618,90.98730348304409,18.39235556571627,0.0,slot_midpoint,,0.0,PREPARE,-0.5467509880951877,-0.5467509880951877,-0.5467509880951877,-0.5497760255663131,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.5,A,,ample,none,0,R,74.03963286204332,0.0,18.16457789043849,0.2775233755402448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.372785896288487,30.2,30.2,0.17278589628848806,87.19723512369679,94.7773718423914,7.580136718694618,90.98730348304409,18.39235556571627,0.0,slot_midpoint,,0.0,PREPARE,0.2527061980975047,0.2527061980975047,0.2527061980975047,-0.4963435488548018,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.5,A,,ample,none,0,F,109.21241875833181,0.0,18.34125829416906,-0.30294469978454436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.372785896288487,30.2,30.2,0.17278589628848806,87.19723512369679,94.7773718423914,7.580136718694618,,,,slot_midpoint,,0.0,PREPARE,-0.2900695500436999,-0.2900695500436999,-0.2900695500436999,0.25750299481688943,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.5,A,,ample,none,0,B,47.02902573065992,0.0,18.12183767822745,0.25256260628336624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.372785896288487,30.2,30.2,0.17278589628848806,87.19723512369679,94.7773718423914,7.580136718694618,,,,slot_midpoint,,0.0,PREPARE,0.2502591903395687,0.2502591903395687,0.2502591903395687,-0.04606831887595031,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.55,A,,ample,none,0,M,86.05139091880889,3.6,21.787082210424973,-0.5467509880951877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.38094144678983,30.2,30.2,0.1809414467898307,88.11020225943305,95.70364031245397,7.593438053020918,91.90692128594351,18.39188901608884,0.0,slot_midpoint,,0.0,PREPARE,-0.5732333248180255,-0.5732333248180255,-0.5732333248180255,-0.5296467344567546,0.0,0.0,0,0,,0.0,
